Algorithm,Dataset,Time_Elapsed,Best_Value,Round
sasa,dag121037_MEDIUM_0,0.0,-inf,
sasa,dag121037_MEDIUM_0,6.717803716659546,-422517.9836999993,1.0
sasa,dag121037_MEDIUM_0,16.72357702255249,-422517.9836999993,
sasa,dag121037_MEDIUM_0,26.738783359527588,-422517.9836999993,
sasa,dag121037_MEDIUM_0,36.74352765083313,-422517.9836999993,
sasa,dag121037_MEDIUM_0,46.76767945289612,-422517.9836999993,
sasa,dag121037_MEDIUM_0,56.773420572280884,-422517.9836999993,
sasa,dag121037_MEDIUM_0,66.79333567619324,-422517.9836999993,
sasa,dag121037_MEDIUM_0,76.79904294013977,-422517.9836999993,
sasa,dag121037_MEDIUM_0,86.80476546287537,-422517.9836999993,
sasa,dag121037_MEDIUM_0,87.05925393104553,331099.86640090804,1.0
sasa,dag121037_MEDIUM_0,97.07000160217285,331099.86640090804,
sasa,dag121037_MEDIUM_0,107.0893018245697,331099.86640090804,
sasa,dag121037_MEDIUM_0,117.1125180721283,331099.86640090804,
sasa,dag121037_MEDIUM_0,127.12343382835388,331099.86640090804,
sasa,dag121037_MEDIUM_0,137.13318014144897,331099.86640090804,
sasa,dag121037_MEDIUM_0,147.15553641319275,331099.86640090804,
sasa,dag121037_MEDIUM_0,157.16384315490723,331099.86640090804,
sasa,dag121037_MEDIUM_0,167.17508840560913,331099.86640090804,
sasa,dag121037_MEDIUM_0,167.58968472480774,331201.2805011968,2.0
sasa,dag121037_MEDIUM_0,177.61075067520142,331201.2805011968,
sasa,dag121037_MEDIUM_0,187.6213893890381,331201.2805011968,
sasa,dag121037_MEDIUM_0,197.64029002189636,331201.2805011968,
sasa,dag121037_MEDIUM_0,207.6642816066742,331201.2805011968,
sasa,dag121037_MEDIUM_0,217.66605186462402,331201.2805011968,
sasa,dag121037_MEDIUM_0,227.66680812835693,331201.2805011968,
sasa,dag121037_MEDIUM_0,237.6847894191742,331201.2805011968,
sasa,dag121037_MEDIUM_0,247.70191740989685,331201.2805011968,
sasa,dag121037_MEDIUM_0,257.7073769569397,331201.2805011968,
sasa,dag121037_MEDIUM_0,267.713796377182,331201.2805011968,
sasa,dag121037_MEDIUM_0,277.7352104187012,331201.2805011968,
sasa,dag121037_MEDIUM_0,287.7560820579529,331201.2805011968,
sasa,dag121037_MEDIUM_0,297.7841453552246,331201.2805011968,
sasa,dag121037_MEDIUM_0,307.78942489624023,331201.2805011968,
sasa,dag121037_MEDIUM_0,317.8146798610687,331201.2805011968,
sasa,dag121037_MEDIUM_0,327.816525220871,331201.2805011968,
sasa,dag121037_MEDIUM_0,337.84097361564636,331201.2805011968,
sasa,dag121037_MEDIUM_0,347.86210656166077,331201.2805011968,
sasa,dag121037_MEDIUM_0,357.8830544948578,331201.2805011968,
sasa,dag121037_MEDIUM_0,367.89295625686646,331201.2805011968,
sasa,dag121037_MEDIUM_0,377.9022810459137,331201.2805011968,
sasa,dag121037_MEDIUM_0,387.9219126701355,331201.2805011968,
sasa,dag121037_MEDIUM_0,397.9386487007141,331201.2805011968,
sasa,dag121037_MEDIUM_0,407.9632341861725,331201.2805011968,
sasa,dag121037_MEDIUM_0,417.9809536933899,331201.2805011968,
sasa,dag121037_MEDIUM_0,428.0052914619446,331201.2805011968,
sasa,dag121037_MEDIUM_0,438.01888608932495,331201.2805011968,
sasa,dag121037_MEDIUM_0,448.0244312286377,331201.2805011968,
sasa,dag121037_MEDIUM_0,458.0315840244293,331201.2805011968,
sasa,dag121037_MEDIUM_0,468.03345823287964,331201.2805011968,
sasa,dag121037_MEDIUM_0,478.05299282073975,331201.2805011968,
sasa,dag121037_MEDIUM_0,488.06543731689453,331201.2805011968,
sasa,dag121037_MEDIUM_0,498.08630752563477,331201.2805011968,
sasa,dag121037_MEDIUM_0,508.08825635910034,331201.2805011968,
sasa,dag121037_MEDIUM_0,518.0952017307281,331201.2805011968,
sasa,dag121037_MEDIUM_0,528.1103458404541,331201.2805011968,
sasa,dag121037_MEDIUM_0,538.1169583797455,331201.2805011968,
sasa,dag121037_MEDIUM_0,548.137832403183,331201.2805011968,
sasa,dag121037_MEDIUM_0,558.1581430435181,331201.2805011968,
sasa,dag121037_MEDIUM_0,568.1760430335999,331201.2805011968,
sasa,dag121037_MEDIUM_0,578.1844081878662,331201.2805011968,
sasa,dag121037_MEDIUM_0,588.2081913948059,331201.2805011968,
sasa,dag121037_MEDIUM_0,598.2130038738251,331201.2805011968,
sasa,dag121037_MEDIUM_0,608.2332530021667,331201.2805011968,
sasa,dag121037_MEDIUM_0,618.2345795631409,331201.2805011968,
sasa,dag121037_MEDIUM_0,628.2388346195221,331201.2805011968,
sasa,dag121037_MEDIUM_0,631.0617823600769,333190.69110077067,8.0
sasa,dag121037_MEDIUM_0,641.085090637207,333190.69110077067,
sasa,dag121037_MEDIUM_0,651.0946571826935,333190.69110077067,
sasa,dag121037_MEDIUM_0,661.1099994182587,333190.69110077067,
sasa,dag121037_MEDIUM_0,671.1267125606537,333190.69110077067,
sasa,dag121037_MEDIUM_0,681.13236784935,333190.69110077067,
sasa,dag121037_MEDIUM_0,691.1524925231934,333190.69110077067,
sasa,dag121037_MEDIUM_0,701.1724846363068,333190.69110077067,
sasa,dag121037_MEDIUM_0,709.9567217826843,333380.38050125603,9.0
sasa,dag121037_MEDIUM_0,719.9630537033081,333380.38050125603,
sasa,dag121037_MEDIUM_0,729.9840950965881,333380.38050125603,
sasa,dag121037_MEDIUM_0,739.9862287044525,333380.38050125603,
sasa,dag121037_MEDIUM_0,749.9984245300293,333380.38050125603,
sasa,dag121037_MEDIUM_0,760.0097489356995,333380.38050125603,
sasa,dag121037_MEDIUM_0,770.0099802017212,333380.38050125603,
sasa,dag121037_MEDIUM_0,780.013365983963,333380.38050125603,
sasa,dag121037_MEDIUM_0,790.021045923233,333380.38050125603,
sasa,dag121037_MEDIUM_0,800.0316042900085,333380.38050125603,
sasa,dag121037_MEDIUM_0,810.0414214134216,333380.38050125603,
sasa,dag121037_MEDIUM_0,820.0440609455109,333380.38050125603,
sasa,dag121037_MEDIUM_0,830.0497870445251,333380.38050125603,
sasa,dag121037_MEDIUM_0,840.0743203163147,333380.38050125603,
sasa,dag121037_MEDIUM_0,850.0787508487701,333380.38050125603,
sasa,dag121037_MEDIUM_0,860.086136341095,333380.38050125603,
sasa,dag121037_MEDIUM_0,870.0941698551178,333380.38050125603,
sasa,dag121037_MEDIUM_0,880.0966272354126,333380.38050125603,
sasa,dag121037_MEDIUM_0,890.1155710220337,333380.38050125603,
sasa,dag121037_MEDIUM_0,900.1197216510773,333380.38050125603,
sasa,dag121037_MEDIUM_0,910.121604681015,333380.38050125603,
sasa,dag121037_MEDIUM_0,920.1250338554382,333380.38050125603,
sasa,dag121037_MEDIUM_0,930.131147146225,333380.38050125603,
sasa,dag121037_MEDIUM_0,940.1528792381287,333380.38050125603,
sasa,dag121037_MEDIUM_0,950.1542658805847,333380.38050125603,
sasa,dag121037_MEDIUM_0,960.1739580631256,333380.38050125603,
sasa,dag121037_MEDIUM_0,970.179708480835,333380.38050125603,
sasa,dag121037_MEDIUM_0,980.2004787921906,333380.38050125603,
sasa,dag121037_MEDIUM_0,990.2208576202393,333380.38050125603,
sasa,dag121037_MEDIUM_0,1000.2451775074005,333380.38050125603,
sasa,dag121037_MEDIUM_0,1010.2492589950562,333380.38050125603,
sasa,dag121037_MEDIUM_0,1020.2635731697083,333380.38050125603,
sasa,dag121037_MEDIUM_0,1030.2864634990692,333380.38050125603,
sasa,dag121037_MEDIUM_0,1040.2917432785034,333380.38050125603,
sasa,dag121037_MEDIUM_0,1050.3120112419128,333380.38050125603,
sasa,dag121037_MEDIUM_0,1060.3388261795044,333380.38050125603,
sasa,dag121037_MEDIUM_0,1070.3572344779968,333380.38050125603,
sasa,dag121037_MEDIUM_0,1080.3771402835846,333380.38050125603,
