Algorithm,Dataset,Time_Elapsed,Best_Value,Round
mf,dag122485_MEDIUM_4,0.0,-inf,
mf,dag122485_MEDIUM_4,94.19652223587036,131921.81029999827,1.0
mf,dag122485_MEDIUM_4,176.23568773269653,290947.8797999993,2.0
mf,dag122485_MEDIUM_4,261.91562938690186,290947.8797999993,
mf,dag122485_MEDIUM_4,341.7473225593567,290947.8797999993,
mf,dag122485_MEDIUM_4,426.4015040397644,290947.8797999993,
mf,dag122485_MEDIUM_4,512.251984834671,290947.8797999993,
mf,dag122485_MEDIUM_4,591.3095655441284,290947.8797999993,
mf,dag122485_MEDIUM_4,668.0009655952454,290947.8797999993,
mf,dag122485_MEDIUM_4,744.715580701828,290947.8797999993,
mf,dag122485_MEDIUM_4,835.770028591156,290947.8797999993,
mf,dag122485_MEDIUM_4,926.5832283496857,290947.8797999993,
mf,dag122485_MEDIUM_4,1016.4960541725159,290947.8797999993,
