Algorithm,Dataset,Time_Elapsed,Best_Value,Round
qpbo,dag122458_MEDIUM_4,0.0,-inf,
qpbo,dag122458_MEDIUM_4,213.94590187072754,131137.59300000095,QPBO_Base
qpbo,dag122458_MEDIUM_4,228.3618061542511,131726.5628000009,Greedy_Add_114
qpbo,dag122458_MEDIUM_4,230.76741743087769,132158.40130000067,Greedy_Add_133
qpbo,dag122458_MEDIUM_4,232.91281127929688,132271.2244000007,Greedy_Add_150
qpbo,dag122458_MEDIUM_4,233.04005241394043,132826.04100000067,Greedy_Add_151
qpbo,dag122458_MEDIUM_4,233.80088210105896,133249.8439000007,Greedy_Add_157
qpbo,dag122458_MEDIUM_4,234.05551075935364,133797.92680000066,Greedy_Add_159
qpbo,dag122458_MEDIUM_4,234.18461179733276,134198.29380000068,Greedy_Add_160
qpbo,dag122458_MEDIUM_4,238.3698012828827,134464.17070000066,Greedy_Add_193
qpbo,dag122458_MEDIUM_4,242.96111941337585,134971.17080000057,Greedy_Add_229
qpbo,dag122458_MEDIUM_4,243.47256207466125,135475.20390000058,Greedy_Add_233
qpbo,dag122458_MEDIUM_4,253.5425524711609,135973.05680000057,Greedy_Add_312
qpbo,dag122458_MEDIUM_4,260.57776713371277,136318.65030000053,Greedy_Add_367
qpbo,dag122458_MEDIUM_4,261.477294921875,136759.70070000054,Greedy_Add_374
qpbo,dag122458_MEDIUM_4,263.4012749195099,136973.27900000053,Greedy_Add_389
qpbo,dag122458_MEDIUM_4,266.09320855140686,137395.9862000006,Greedy_Add_410
qpbo,dag122458_MEDIUM_4,270.3334174156189,137514.7555000006,Greedy_Add_443
qpbo,dag122458_MEDIUM_4,274.4747567176819,137915.6242000006,Greedy_Add_475
qpbo,dag122458_MEDIUM_4,274.8617413043976,138306.8907000009,Greedy_Add_478
qpbo,dag122458_MEDIUM_4,275.63992404937744,138382.39810000086,Greedy_Add_484
qpbo,dag122458_MEDIUM_4,278.08062291145325,138405.67290000065,Greedy_Add_503
qpbo,dag122458_MEDIUM_4,280.02281522750854,138791.9799000007,Greedy_Add_518
qpbo,dag122458_MEDIUM_4,283.1228189468384,139029.37010000073,Greedy_Add_542
qpbo,dag122458_MEDIUM_4,288.1958611011505,139175.69200000077,Greedy_Add_581
qpbo,dag122458_MEDIUM_4,289.23283290863037,139460.71250000066,Greedy_Add_589
qpbo,dag122458_MEDIUM_4,290.9216675758362,139828.78870000076,Greedy_Add_602
qpbo,dag122458_MEDIUM_4,291.18176341056824,139955.10910000085,Greedy_Add_604
qpbo,dag122458_MEDIUM_4,292.0902245044708,140204.79850000085,Greedy_Add_611
qpbo,dag122458_MEDIUM_4,292.99921560287476,140547.7724000009,Greedy_Add_618
qpbo,dag122458_MEDIUM_4,297.0311737060547,140772.61690000084,Greedy_Add_649
qpbo,dag122458_MEDIUM_4,298.07391452789307,140962.69750000088,Greedy_Add_657
