Algorithm,Dataset,Time_Elapsed,Best_Value,Round
qp,dag122458_MEDIUM_3,0.0,-inf,
qp,dag122458_MEDIUM_3,31.722075700759888,184692.56920000058,Threshold_0.80
qp,dag122458_MEDIUM_3,31.814213514328003,231411.48140000063,Threshold_0.68
qp,dag122458_MEDIUM_3,31.918354988098145,261970.47559999966,Threshold_0.60
qp,dag122458_MEDIUM_3,32.03994941711426,292028.77609999856,Threshold_0.50
qp,dag122458_MEDIUM_3,32.17660474777222,300723.7891999999,Threshold_0.40
qp,dag122458_MEDIUM_3,1000.0,300723.7891999999,
