,greedy,sghc,sa,sasa,qp,qpbo
greedy,1.0,0.8448166268566214,0.9235691843819881,0.891739427636652,0.7130372227937377,0.11353126335528213
sghc,0.8448166268566214,1.0,0.8940306387644942,0.9075064288318065,0.7939877421140252,0.12274248660716487
sa,0.9235691843819881,0.8940306387644942,1.0,0.9471073020163142,0.7494670143904889,0.1128329304611424
sasa,0.891739427636652,0.9075064288318065,0.9471073020163142,1.0,0.7739162091501028,0.11639640374269612
qp,0.7130372227937377,0.7939877421140252,0.7494670143904889,0.7739162091501028,1.0,0.13412509488913182
qpbo,0.11353126335528213,0.12274248660716487,0.1128329304611424,0.11639640374269612,0.13412509488913182,1.0
