,greedy,sghc,sa,sasa,qp,qpbo
greedy,1.0,0.620780830871634,0.8047765389228964,0.6853356371138232,0.5750563709165388,0.2584870836078845
sghc,0.620780830871634,1.0,0.6887630997716562,0.7400576765004822,0.7155635900151965,0.2979794632099284
sa,0.8047765389228964,0.6887630997716562,1.0,0.753982576663601,0.6335097367242609,0.2680287140306256
sasa,0.6853356371138232,0.7400576765004822,0.753982576663601,1.0,0.7209192713101761,0.2848009316437945
qp,0.5750563709165388,0.7155635900151965,0.6335097367242609,0.7209192713101761,1.0,0.31828096536808265
qpbo,0.2584870836078845,0.2979794632099284,0.2680287140306256,0.2848009316437945,0.31828096536808265,1.0
