,greedy,sghc,sa,sasa,qp,qpbo
greedy,1.0,0.6341340662097538,0.8251917324085386,0.7007043649100296,0.5959074288737819,0.2764049554232431
sghc,0.6341340662097538,1.0,0.6832978648909286,0.7360043936876824,0.7124300622803724,0.3160876234059996
sa,0.8251917324085386,0.6832978648909286,1.0,0.7615170345812792,0.6481362196205099,0.2849002270084704
sasa,0.7007043649100296,0.7360043936876824,0.7615170345812792,1.0,0.7292049582431638,0.3045861859569577
qp,0.5959074288737819,0.7124300622803724,0.6481362196205099,0.7292049582431638,1.0,0.336849206804152
qpbo,0.2764049554232431,0.3160876234059996,0.2849002270084704,0.3045861859569577,0.336849206804152,1.0
