Category,Algorithm,Avg_Best_Value,Avg_Time_to_Knee,Evaluated_Datasets
dag101_MEDIUM,sasa,1876555.7600311053,1536.8146860599518,3
dag101_MEDIUM,sghc,1869617.5515666653,44.177125692367554,3
dag101_MEDIUM,sa,1841039.3161000006,311.27260279655457,3
dag101_MEDIUM,qp,1820144.0523000062,2439.9718732833862,3
dag101_MEDIUM,greedy,1706074.6401000135,17.20861268043518,3
dag101_MEDIUM,qpbo,141282.47923333212,959.0116770267488,3
dag102_MEDIUM,sasa,1410262.9245701882,846.4031910896301,3
dag102_MEDIUM,qp,1372982.259366666,882.7478883266449,3
dag102_MEDIUM,sghc,1332851.7867333398,26.574467658996586,3
dag102_MEDIUM,sa,1281529.9405999973,104.77096343040466,3
dag102_MEDIUM,greedy,1148243.1343333658,13.560243844985962,3
dag102_MEDIUM,qpbo,448516.4890333317,1258.4698421955109,3
dag103_MEDIUM,sasa,1360299.0038320718,1013.2042224407196,3
dag103_MEDIUM,qp,1330301.4679666439,914.2335517406464,3
dag103_MEDIUM,sghc,1307429.5391666617,70.76727294921875,3
dag103_MEDIUM,sa,1226279.0453333522,372.657573223114,3
dag103_MEDIUM,greedy,1101844.3360666342,10.205078601837158,3
dag103_MEDIUM,qpbo,401431.38673333573,1378.7809216976166,3
dag201_MEDIUM,sasa,2126716.374765135,418.1085031032562,3
dag201_MEDIUM,qp,2079491.6583000142,141.5349633693695,3
dag201_MEDIUM,sa,2067184.3393999895,73.6017575263977,3
dag201_MEDIUM,sghc,2050186.8711000017,9.069481372833252,3
dag201_MEDIUM,greedy,1922362.430600035,2.7254467010498047,3
dag201_MEDIUM,qpbo,1760466.2416666707,585.3748092651367,3
dag202_MEDIUM,sasa,1387105.2426666247,1074.6229619979858,3
dag202_MEDIUM,qp,1351058.8036333339,842.9123408794403,3
dag202_MEDIUM,sghc,1311501.1830666733,24.9156973361969,3
dag202_MEDIUM,sa,1259108.1419333385,204.0684027671814,3
dag202_MEDIUM,greedy,1128266.589666676,10.289371490478516,3
dag202_MEDIUM,qpbo,433412.51469999715,1262.095829963684,3
dag203_MEDIUM,sasa,1277679.0687026468,1674.2569892406464,3
dag203_MEDIUM,sghc,1274815.77006667,98.9962637424469,3
dag203_MEDIUM,sa,1142140.3093999976,286.61537194252014,3
dag203_MEDIUM,greedy,1023782.4758333097,20.66946911811829,3
dag203_MEDIUM,qpbo,173998.2032333339,1812.3989667892456,3
dag203_MEDIUM,qp,0.0,0.0,3
dag301_MEDIUM,sasa,2016490.4946672723,147.19783115386963,3
dag301_MEDIUM,sghc,1946048.1912666422,34.80568194389343,3
dag301_MEDIUM,sa,1936999.4906000022,38.08543205261231,3
dag301_MEDIUM,qp,1929460.988366645,168.4582600593567,3
dag301_MEDIUM,greedy,1880665.3889666505,3.241955518722534,3
dag301_MEDIUM,qpbo,1735021.4707333155,992.4777190685272,3
dag302_MEDIUM,sasa,1392260.874135013,797.062736749649,3
dag302_MEDIUM,qp,1349227.4004999797,837.4146838188171,3
dag302_MEDIUM,sghc,1316024.2107333282,27.98654317855835,3
dag302_MEDIUM,sa,1258022.4368999943,197.48819184303284,3
dag302_MEDIUM,greedy,1122778.911066604,10.05763578414917,3
dag302_MEDIUM,qpbo,432977.59083332913,1214.1329946517944,3
dag303_MEDIUM,sghc,1209365.0389333318,121.30867958068848,3
dag303_MEDIUM,sasa,1194382.9889994701,2237.519822359085,3
dag303_MEDIUM,sa,1096303.7274000302,263.4238131046295,3
dag303_MEDIUM,greedy,962504.883233271,16.101625204086304,3
dag303_MEDIUM,qpbo,210116.5823000014,1511.112319469452,3
dag303_MEDIUM,qp,0.0,0.0,3
dag401_MEDIUM,sasa,1907857.7176657042,737.0885519981384,3
dag401_MEDIUM,qp,1907015.3000000103,233.3332979679108,3
dag401_MEDIUM,sghc,1897392.8410333546,20.520297527313232,3
dag401_MEDIUM,sa,1868182.279966657,108.18275022506714,3
dag401_MEDIUM,greedy,1843356.5604999873,9.485238075256348,3
dag401_MEDIUM,qpbo,1232561.0024000043,1043.7894008159635,3
dag402_MEDIUM,sasa,1399310.4527987707,880.0702276229858,3
dag402_MEDIUM,qp,1357772.7899000158,886.8948819637299,3
dag402_MEDIUM,sghc,1317383.2311333257,23.57890009880066,3
dag402_MEDIUM,sa,1266819.9203000078,146.0747046470642,3
dag402_MEDIUM,greedy,1133754.513833315,10.25727128982544,3
dag402_MEDIUM,qpbo,461040.70289999683,1251.0239505767822,3
dag403_MEDIUM,sasa,711137.1310628774,831.5928256511688,3
dag403_MEDIUM,sghc,660764.9742000004,443.3530294895172,3
dag403_MEDIUM,sa,598743.5174332601,202.3541386127472,3
dag403_MEDIUM,qp,416686.1783333346,2633.403043270111,3
dag403_MEDIUM,qpbo,9642.74986666667,1161.7832808494568,3
dag403_MEDIUM,greedy,0.0,0.0,3
