,greedy,sghc,sa,sasa,qp,qpbo
greedy,1.0,0.6539958115273653,0.8185609757916937,0.7148277449771537,0.5956681094220754,0.2705150527200605
sghc,0.6539958115273653,1.0,0.7025487029671863,0.7512309796557174,0.7101801906463652,0.31503517341358583
sa,0.8185609757916937,0.7025487029671863,1.0,0.780616971736306,0.6510367686057277,0.2793133511568067
sasa,0.7148277449771537,0.7512309796557174,0.780616971736306,1.0,0.7274678176499196,0.30070366320537284
qp,0.5956681094220754,0.7101801906463652,0.6510367686057277,0.7274678176499196,1.0,0.333894100780398
qpbo,0.2705150527200605,0.31503517341358583,0.2793133511568067,0.30070366320537284,0.333894100780398,1.0
