Category,Method,Average_Score,Average_Time,Average_Result_Nodes,Num_Runs
dag101_MEDIUM,greedy,1706074.6401000132,17.040629999999997,14839.333333333334,3
dag101_MEDIUM,sghc,1869617.5515666653,247.8608766666667,13656.0,3
dag101_MEDIUM,sa,1841039.3161000006,3002.5386866666668,14785.333333333334,3
dag101_MEDIUM,sasa,1876555.7600311053,3001.1374413333338,14297.666666666666,3
dag101_MEDIUM,qp,1820144.0523000062,2165.888439,12180.333333333334,3
dag101_MEDIUM,qpbo,141282.47923333218,3000.5308016666663,1831.0,3
dag102_MEDIUM,greedy,1148243.1343333658,11.612686333333334,14678.0,3
dag102_MEDIUM,sghc,1332851.7867333398,163.26883466666666,11396.0,3
dag102_MEDIUM,sa,1281529.9405999973,3001.6560886666666,13702.0,3
dag102_MEDIUM,sasa,1410262.9245701882,3000.8614526666665,12146.0,3
dag102_MEDIUM,qp,1372982.259366666,871.7480273333334,11309.0,3
dag102_MEDIUM,qpbo,448516.4890333318,3001.1768743333337,5179.333333333333,3
dag103_MEDIUM,greedy,1101844.3360666342,10.401531333333333,14380.0,3
dag103_MEDIUM,sghc,1307429.5391666617,157.450591,10741.0,3
dag103_MEDIUM,sa,1226279.0453333522,3001.8744593333336,13298.666666666666,3
dag103_MEDIUM,sasa,1360299.0038320718,3000.9835983333337,11568.0,3
dag103_MEDIUM,qp,1330301.4679666439,837.0355503333334,10832.666666666666,3
dag103_MEDIUM,qpbo,401431.38673333585,3000.7223493333336,4964.333333333333,3
dag201_MEDIUM,greedy,1922362.430600035,2.8580116666666666,16261.333333333334,3
dag201_MEDIUM,sghc,2050186.8711000017,73.31489933333334,15485.666666666666,3
dag201_MEDIUM,sa,2067184.3393999895,3000.917579333333,15461.333333333334,3
dag201_MEDIUM,sasa,2126716.374765135,3000.4447153333335,15012.0,3
dag201_MEDIUM,qp,2079491.6583000142,121.73312866666667,15157.0,3
dag201_MEDIUM,qpbo,1760466.2416666707,3000.890210666667,17384.666666666668,3
dag202_MEDIUM,greedy,1128266.589666676,10.414397666666666,14694.0,3
dag202_MEDIUM,sghc,1311501.1830666733,158.661699,12207.0,3
dag202_MEDIUM,sa,1259108.1419333385,3001.740220333333,13731.0,3
dag202_MEDIUM,sasa,1387105.2426666247,3000.9930493333336,12065.0,3
dag202_MEDIUM,qp,1351058.8036333339,829.0957446666666,11424.333333333334,3
dag202_MEDIUM,qpbo,433412.5146999972,3000.7827099999995,5064.666666666667,3
dag203_MEDIUM,greedy,1023782.4758333097,21.057753,15313.666666666666,3
dag203_MEDIUM,sghc,1274815.77006667,296.00202966666666,12099.333333333334,3
dag203_MEDIUM,sa,1142140.3093999976,3002.8619513333338,14639.333333333334,3
dag203_MEDIUM,sasa,1277679.0687026468,3001.5784963333335,13373.333333333334,3
dag203_MEDIUM,qp,-inf,6637.450211333334,0.0,3
dag203_MEDIUM,qpbo,173998.2032333339,3000.5663416666666,2146.0,3
dag301_MEDIUM,greedy,1880665.388966651,3.692761666666667,3186.0,3
dag301_MEDIUM,sghc,1946048.191266642,40.61189233333334,3102.0,3
dag301_MEDIUM,sa,1936999.4906000022,3001.2158576666666,3101.3333333333335,3
dag301_MEDIUM,sasa,2016490.4946672723,3000.531622666667,3022.6666666666665,3
