Algorithm,Dataset,Time_Elapsed,Best_Value,Round,Category
sa,dag101_MEDIUM_0,294.75345635414124,1539655.189200017,,dag101_MEDIUM
sa,dag101_MEDIUM_0,304.75881242752075,1539655.189200017,,dag101_MEDIUM
sa,dag101_MEDIUM_0,311.27260279655457,1833903.0253000343,2.0,dag101_MEDIUM
sa,dag101_MEDIUM_0,321.28443336486816,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,331.3071160316468,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,341.32016587257385,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,351.3354587554932,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,361.3433341979981,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,371.34985184669495,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,381.3503749370575,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,391.3532514572144,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,401.37042760849,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,411.375853061676,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,421.3811354637146,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,431.3877284526825,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,441.3929533958435,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,451.4086933135986,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,461.4156975746155,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,471.42793107032776,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,481.4310402870178,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,491.44850730896,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,501.45059394836426,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,511.4513247013092,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,521.4664504528046,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,531.4750990867615,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,541.4828503131866,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,551.4905378818512,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,561.4962112903595,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,571.5065922737122,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,581.521279335022,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,588.2161972522736,1835379.843300028,4.0,dag101_MEDIUM
sa,dag101_MEDIUM_0,598.2318930625916,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,608.2329015731812,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,618.2501287460327,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,628.2615170478821,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,638.2784259319305,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,648.2960941791534,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,658.3051879405975,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,668.3140263557434,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,678.3188009262085,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,688.3291227817535,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,698.3299367427826,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,708.3323402404785,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,718.3420739173889,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,728.3504633903503,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,738.3609292507172,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,748.3801264762878,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,758.3944728374481,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,768.4037990570068,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,778.4224736690521,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,788.4314756393433,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,798.4344956874847,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,808.4529500007629,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,818.4654467105865,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,828.4722158908844,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,838.48850274086,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,848.4888679981232,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,858.4903454780579,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,868.5114045143127,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,878.5325429439545,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,888.5478258132935,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,898.5569381713867,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,908.5652766227722,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,918.5786945819856,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,928.5954854488372,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,938.5966868400574,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,948.6027159690856,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,958.6089386940002,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,968.6224362850188,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,978.6420316696168,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,988.654834508896,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,998.6668365001678,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1008.701503753662,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1018.7197308540344,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1028.7245361804962,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1038.7327456474304,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1048.74334025383,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1058.743639945984,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1068.7518467903135,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1078.7586016654968,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1088.7592933177948,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1098.7629888057709,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1108.7688620090485,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1118.7769486904144,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1128.790653705597,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1138.7946207523346,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1148.7980289459229,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1158.8012392520905,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1168.8257167339325,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1178.8489954471588,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1188.8591616153717,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1198.8695576190948,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1208.880676031113,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1218.882310628891,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1228.9006662368774,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1238.909205198288,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1248.9141602516174,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1258.9283215999603,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1268.9283697605133,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1278.934468984604,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1288.9401416778564,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1298.964067220688,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1308.985524892807,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1318.9865374565125,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1329.0022983551023,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1339.0079798698423,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1349.011705160141,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1359.0227959156036,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1369.0417964458466,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1379.042918920517,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1389.0525023937223,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1399.0663459300995,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1409.0681099891665,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1419.069667816162,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1429.0801918506622,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1438.407859325409,1838485.3781000008,10.0,dag101_MEDIUM
sa,dag101_MEDIUM_0,1448.4273166656494,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1458.436206817627,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1468.451189994812,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1478.4639117717743,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1488.4818263053894,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1498.4837725162506,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1508.490965843201,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1518.5048348903656,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1528.5197823047638,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1538.5213944911957,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1548.5357286930084,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1558.5403954982758,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1568.5469012260437,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1578.564561367035,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1588.5658822059631,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1598.5726251602173,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1608.5958931446075,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1618.6132216453552,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1628.6204211711884,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1638.629566669464,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1648.6425704956057,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1658.648724317551,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1668.6521980762482,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1678.675330400467,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1688.67982006073,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1698.6915864944458,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1708.69535279274,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1718.6971883773804,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1728.7062604427338,1838485.3781000008,,dag101_MEDIUM
