,greedy,sghc,sa,sasa,qp,qpbo
greedy,1.0,0.6997681932893487,0.8220800883558161,0.7054071934038678,0.5966489967524913,0.26344469518890457
sghc,0.6997681932893487,1.0,0.7478340909579783,0.7678042775957484,0.6944288014560659,0.3040386651766118
sa,0.8220800883558161,0.7478340909579783,1.0,0.7670108754957967,0.648978946933315,0.27324633240780916
sasa,0.7054071934038678,0.7678042775957484,0.7670108754957967,1.0,0.7294967453053589,0.29769339201781536
qp,0.5966489967524913,0.6944288014560659,0.648978946933315,0.7294967453053589,1.0,0.3310456240524729
qpbo,0.26344469518890457,0.3040386651766118,0.27324633240780916,0.29769339201781536,0.3310456240524729,1.0
