Category,Method_A,Method_B,Avg_Jaccard_Similarity
dag103_MEDIUM,qpbo,sghc,0.2979794632099284
dag103_MEDIUM,qpbo,sa,0.2680287140306256
dag103_MEDIUM,qpbo,sasa,0.2848009316437945
dag103_MEDIUM,qpbo,qp,0.31828096536808265
dag103_MEDIUM,qpbo,qpbo,1.0
dag201_MEDIUM,greedy,greedy,1.0
dag201_MEDIUM,greedy,sghc,0.8384405280914494
dag201_MEDIUM,greedy,sa,0.8397074478898631
dag201_MEDIUM,greedy,sasa,0.8180837759815688
dag201_MEDIUM,greedy,qp,0.8076597812261027
dag201_MEDIUM,greedy,qpbo,0.7612210190971997
dag201_MEDIUM,sghc,greedy,0.8384405280914494
dag201_MEDIUM,sghc,sghc,1.0
dag201_MEDIUM,sghc,sa,0.8768965227006613
dag201_MEDIUM,sghc,sasa,0.8740449872354286
dag201_MEDIUM,sghc,qp,0.8539054041772377
dag201_MEDIUM,sghc,qpbo,0.7644952136769905
dag201_MEDIUM,sa,greedy,0.8397074478898631
dag201_MEDIUM,sa,sghc,0.8768965227006613
dag201_MEDIUM,sa,sa,1.0
dag201_MEDIUM,sa,sasa,0.8861334448381948
dag201_MEDIUM,sa,qp,0.8658196035772899
dag201_MEDIUM,sa,qpbo,0.7756750671757707
dag201_MEDIUM,sasa,greedy,0.8180837759815688
dag201_MEDIUM,sasa,sghc,0.8740449872354286
dag201_MEDIUM,sasa,sa,0.8861334448381948
dag201_MEDIUM,sasa,sasa,1.0
dag201_MEDIUM,sasa,qp,0.9048762846939096
dag201_MEDIUM,sasa,qpbo,0.7799011666714707
dag201_MEDIUM,qp,greedy,0.8076597812261027
dag201_MEDIUM,qp,sghc,0.8539054041772377
dag201_MEDIUM,qp,sa,0.8658196035772899
dag201_MEDIUM,qp,sasa,0.9048762846939096
dag201_MEDIUM,qp,qp,1.0
dag201_MEDIUM,qp,qpbo,0.8086872134437882
dag201_MEDIUM,qpbo,greedy,0.7612210190971997
dag201_MEDIUM,qpbo,sghc,0.7644952136769905
dag201_MEDIUM,qpbo,sa,0.7756750671757707
dag201_MEDIUM,qpbo,sasa,0.7799011666714707
dag201_MEDIUM,qpbo,qp,0.8086872134437882
dag201_MEDIUM,qpbo,qpbo,1.0
dag202_MEDIUM,greedy,greedy,1.0
dag202_MEDIUM,greedy,sghc,0.6997681932893487
dag202_MEDIUM,greedy,sa,0.8220800883558161
dag202_MEDIUM,greedy,sasa,0.7054071934038678
dag202_MEDIUM,greedy,qp,0.5966489967524913
dag202_MEDIUM,greedy,qpbo,0.26344469518890457
dag202_MEDIUM,sghc,greedy,0.6997681932893487
dag202_MEDIUM,sghc,sghc,1.0
dag202_MEDIUM,sghc,sa,0.7478340909579783
dag202_MEDIUM,sghc,sasa,0.7678042775957484
dag202_MEDIUM,sghc,qp,0.6944288014560659
dag202_MEDIUM,sghc,qpbo,0.3040386651766118
dag202_MEDIUM,sa,greedy,0.8220800883558161
dag202_MEDIUM,sa,sghc,0.7478340909579783
dag202_MEDIUM,sa,sa,1.0
dag202_MEDIUM,sa,sasa,0.7670108754957967
dag202_MEDIUM,sa,qp,0.648978946933315
dag202_MEDIUM,sa,qpbo,0.27324633240780916
dag202_MEDIUM,sasa,greedy,0.7054071934038678
dag202_MEDIUM,sasa,sghc,0.7678042775957484
dag202_MEDIUM,sasa,sa,0.7670108754957967
dag202_MEDIUM,sasa,sasa,1.0
dag202_MEDIUM,sasa,qp,0.7294967453053589
dag202_MEDIUM,sasa,qpbo,0.29769339201781536
dag202_MEDIUM,qp,greedy,0.5966489967524913
dag202_MEDIUM,qp,sghc,0.6944288014560659
dag202_MEDIUM,qp,sa,0.648978946933315
dag202_MEDIUM,qp,sasa,0.7294967453053589
dag202_MEDIUM,qp,qp,1.0
dag202_MEDIUM,qp,qpbo,0.3310456240524729
dag202_MEDIUM,qpbo,greedy,0.26344469518890457
dag202_MEDIUM,qpbo,sghc,0.3040386651766118
dag202_MEDIUM,qpbo,sa,0.27324633240780916
dag202_MEDIUM,qpbo,sasa,0.29769339201781536
dag202_MEDIUM,qpbo,qp,0.3310456240524729
dag202_MEDIUM,qpbo,qpbo,1.0
dag203_MEDIUM,greedy,greedy,1.0
dag203_MEDIUM,greedy,sghc,0.6645329445838759
dag203_MEDIUM,greedy,sa,0.8449981861733566
dag203_MEDIUM,greedy,sasa,0.7657386897386941
dag203_MEDIUM,greedy,qp,0.0
dag203_MEDIUM,greedy,qpbo,0.1079514319244325
dag203_MEDIUM,sghc,greedy,0.6645329445838759
dag203_MEDIUM,sghc,sghc,1.0
dag203_MEDIUM,sghc,sa,0.6917083196279727
dag203_MEDIUM,sghc,sasa,0.7455260043509435
dag203_MEDIUM,sghc,qp,0.0
dag203_MEDIUM,sghc,qpbo,0.13265330251069837
dag203_MEDIUM,sa,greedy,0.8449981861733566
dag203_MEDIUM,sa,sghc,0.6917083196279727
dag203_MEDIUM,sa,sa,1.0
dag203_MEDIUM,sa,sasa,0.8155061928777211
dag203_MEDIUM,sa,qp,0.0
dag203_MEDIUM,sa,qpbo,0.10906243779586489
dag203_MEDIUM,sasa,greedy,0.7657386897386941
dag203_MEDIUM,sasa,sghc,0.7455260043509435
dag203_MEDIUM,sasa,sa,0.8155061928777211
dag203_MEDIUM,sasa,sasa,1.0
dag203_MEDIUM,sasa,qp,0.0
dag203_MEDIUM,sasa,qpbo,0.11755535962903578
dag203_MEDIUM,qp,greedy,0.0
dag203_MEDIUM,qp,sghc,0.0
dag203_MEDIUM,qp,sa,0.0
dag203_MEDIUM,qp,sasa,0.0
dag203_MEDIUM,qp,qp,0.0
dag203_MEDIUM,qp,qpbo,0.0
dag203_MEDIUM,qpbo,greedy,0.1079514319244325
dag203_MEDIUM,qpbo,sghc,0.13265330251069837
dag203_MEDIUM,qpbo,sa,0.10906243779586489
dag203_MEDIUM,qpbo,sasa,0.11755535962903578
dag203_MEDIUM,qpbo,qp,0.0
dag203_MEDIUM,qpbo,qpbo,1.0
dag301_MEDIUM,greedy,greedy,1.0
dag301_MEDIUM,greedy,sghc,0.851102535225195
dag301_MEDIUM,greedy,sa,0.8477844100856385
dag301_MEDIUM,greedy,sasa,0.8333471983210051
dag301_MEDIUM,greedy,qp,0.7944205990877781
dag301_MEDIUM,greedy,qpbo,0.7679756616823373
dag301_MEDIUM,sghc,greedy,0.851102535225195
dag301_MEDIUM,sghc,sghc,1.0
dag301_MEDIUM,sghc,sa,0.8573494321619797
dag301_MEDIUM,sghc,sasa,0.8687870154442013
dag301_MEDIUM,sghc,qp,0.8193852379846094
dag301_MEDIUM,sghc,qpbo,0.7747047066289211
dag301_MEDIUM,sa,greedy,0.8477844100856385
dag301_MEDIUM,sa,sghc,0.8573494321619797
dag301_MEDIUM,sa,sa,1.0
dag301_MEDIUM,sa,sasa,0.8537268668769115
dag301_MEDIUM,sa,qp,0.8093181919002356
dag301_MEDIUM,sa,qpbo,0.7694695116077961
dag301_MEDIUM,sasa,greedy,0.8333471983210051
dag301_MEDIUM,sasa,sghc,0.8687870154442013
dag301_MEDIUM,sasa,sa,0.8537268668769115
dag301_MEDIUM,sasa,sasa,1.0
dag301_MEDIUM,sasa,qp,0.8712372953083195
dag301_MEDIUM,sasa,qpbo,0.7937067155835665
dag301_MEDIUM,qp,greedy,0.7944205990877781
dag301_MEDIUM,qp,sghc,0.8193852379846094
dag301_MEDIUM,qp,sa,0.8093181919002356
dag301_MEDIUM,qp,sasa,0.8712372953083195
dag301_MEDIUM,qp,qp,1.0
dag301_MEDIUM,qp,qpbo,0.8283090715071856
dag301_MEDIUM,qpbo,greedy,0.7679756616823373
dag301_MEDIUM,qpbo,sghc,0.7747047066289211
dag301_MEDIUM,qpbo,sa,0.7694695116077961
dag301_MEDIUM,qpbo,sasa,0.7937067155835665
dag301_MEDIUM,qpbo,qp,0.8283090715071856
dag301_MEDIUM,qpbo,qpbo,1.0
dag302_MEDIUM,greedy,greedy,1.0
dag302_MEDIUM,greedy,sghc,0.6514623845944981
dag302_MEDIUM,greedy,sa,0.8025560757075302
dag302_MEDIUM,greedy,sasa,0.6992130776277823
dag302_MEDIUM,greedy,qp,0.5930322535141251
dag302_MEDIUM,greedy,qpbo,0.2601518685240374
dag302_MEDIUM,sghc,greedy,0.6514623845944981
dag302_MEDIUM,sghc,sghc,1.0
