,greedy,sghc,sa,sasa,qp,qpbo
greedy,1.0,0.6589773183165197,0.7836521618055219,0.6880447992962399,0.5898599652580697,0.2763840133947287
sghc,0.6589773183165197,1.0,0.7089305095936144,0.7456667978631706,0.7004592137469133,0.31799491674961694
sa,0.7836521618055219,0.7089305095936144,1.0,0.7437368854546844,0.6384408843865534,0.2870667909330609
sasa,0.6880447992962399,0.7456667978631706,0.7437368854546844,1.0,0.7405663569724563,0.3100659756690283
qp,0.5898599652580697,0.7004592137469133,0.6384408843865534,0.7405663569724563,1.0,0.346328877677982
qpbo,0.2763840133947287,0.31799491674961694,0.2870667909330609,0.3100659756690283,0.346328877677982,1.0
