Algorithm,Dataset,Time_Elapsed,Best_Value,Round
sasa_conflict_only,dag122485_MEDIUM_1,0.0,-inf,
sasa_conflict_only,dag122485_MEDIUM_1,7.181841850280762,-461190.8901000039,1.0
sasa_conflict_only,dag122485_MEDIUM_1,17.215184211730957,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,27.23482394218445,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,37.259896755218506,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,47.28819751739502,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,57.308976888656616,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,67.33711862564087,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,77.35102105140686,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,87.36479496955872,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,97.37601470947266,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,107.38520669937134,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,117.40136551856995,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,127.42137217521667,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,137.42880392074585,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,147.45167922973633,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,157.47417902946472,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,167.48214483261108,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,177.49371600151062,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,187.52153539657593,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,197.542320728302,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,207.56584548950195,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,217.59445810317993,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,227.61519289016724,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,237.63018798828125,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,247.63614153862,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,257.6420273780823,-461190.8901000039,
sasa_conflict_only,dag122485_MEDIUM_1,267.653963804245,-461190.8901000039,
