source,target,cost
65540,60403,0.0
65540,60426,0.0
65540,60445,0.0
65540,60462,0.0
65540,60480,0.0
5,26802,0.0
5,54528,0.0
5,76926,0.0
5,17576,0.0
5,17577,0.0
65542,58753,0.0
65542,58764,0.0
65542,58790,0.0
65542,58836,0.0
65542,58792,0.0
65542,58794,0.0
4,50483,0.0
4,14387,0.0
4,21320,0.0
4,21322,0.0
117233,89538,0.0
117233,89542,0.0
117233,96303,0.0
65551,60399,0.0
65551,60403,0.0
65551,60426,0.0
65551,60445,0.0
65551,60462,0.0
65551,60480,0.0
29,9259,0.0
29,9261,0.0
29,9493,0.0
29,9494,0.0
29,9495,0.0
29,9497,0.0
29,9646,0.0
32,17948,0.0
32,34353,0.0
32,32073,0.0
32,32077,0.0
33,17948,0.0
33,34353,0.0
33,18365,0.0
33,18380,0.0
33,32073,0.0
33,32077,0.0
34,17948,0.0
34,18365,0.0
34,18380,0.0
34,32073,0.0
34,32077,0.0
34,32084,0.0
34,115333,0.0
65570,58753,0.0
65570,58764,0.0
65570,58790,0.0
65570,58836,0.0
65570,58792,0.0
65570,58794,0.0
35,55026,0.0
35,8880,0.0
35,8890,0.0
35,8891,0.0
35,8892,0.0
35,8894,0.0
35,8904,0.0
65574,60399,0.0
65574,60403,0.0
65574,60426,0.0
65574,60445,0.0
65574,60462,0.0
65574,60480,0.0
65583,72361,0.0
65583,72363,0.0
65583,72371,0.0
65583,72387,0.0
65583,72389,0.0
65583,72409,0.0
65583,72418,0.0
65590,60399,0.0
65590,60403,0.0
65590,60426,0.0
65590,60445,0.0
65590,60462,0.0
65590,60480,0.0
65597,114110,0.0
65597,53237,0.0
65597,95170,0.0
65598,58753,0.0
65598,58764,0.0
65598,58790,0.0
65598,58836,0.0
65598,58792,0.0
65598,58794,0.0
67,7696,0.0
67,7644,0.0
67,7655,0.0
67,7654,0.0
67,7658,0.0
68,7696,0.0
68,7644,0.0
68,7654,0.0
68,7656,0.0
68,7658,0.0
69,7644,0.0
69,7655,0.0
69,7654,0.0
69,7656,0.0
69,7658,0.0
70,7696,0.0
70,7644,0.0
70,7655,0.0
70,7654,0.0
70,7656,0.0
71,7644,0.0
71,7655,0.0
71,7654,0.0
71,7656,0.0
71,7658,0.0
65607,58753,0.0
65607,58764,0.0
65607,58790,0.0
65607,58836,0.0
65607,58792,0.0
65607,58794,0.0
65610,72361,0.0
65610,72363,0.0
65610,72371,0.0
65610,72387,0.0
65610,72389,0.0
65610,72409,0.0
65610,72418,0.0
65611,114110,0.0
65611,53237,0.0
65611,95170,0.0
65613,114110,0.0
65613,53237,0.0
65613,95170,0.0
65615,72361,0.0
65615,72363,0.0
65615,72371,0.0
65615,72387,0.0
65615,72389,0.0
65615,72409,0.0
65615,72418,0.0
65618,114110,0.0
65618,53237,0.0
65618,95170,0.0
65625,114110,0.0
65625,53237,0.0
65625,95170,0.0
65626,72361,0.0
65626,72363,0.0
65626,72371,0.0
65626,72387,0.0
65626,72389,0.0
65626,72409,0.0
65626,72418,0.0
92,752,0.0
92,96004,0.0
92,86750,0.0
92,91475,0.0
92,92862,0.0
92,92865,0.0
65630,72361,0.0
65630,72363,0.0
65630,72371,0.0
65630,72387,0.0
65630,72389,0.0
65630,72409,0.0
65630,72418,0.0
65633,72361,0.0
65633,72363,0.0
65633,72371,0.0
65633,72387,0.0
65633,72389,0.0
65633,72409,0.0
65633,72418,0.0
65634,58753,0.0
65634,58764,0.0
65634,58790,0.0
65634,58792,0.0
65634,58794,0.0
65641,114110,0.0
65641,53237,0.0
65641,95170,0.0
65648,72420,0.0
65648,72425,0.0
65648,72450,0.0
65648,72451,0.0
65648,72458,0.0
65648,72459,0.0
65648,72465,0.0
65648,72467,0.0
115,7696,0.0
115,7644,0.0
115,7655,0.0
115,7654,0.0
115,7656,0.0
115,7658,0.0
116,7696,0.0
116,7655,0.0
116,7656,0.0
116,7658,0.0
116,7872,0.0
65653,114711,0.0
65653,112992,0.0
65653,89954,0.0
65653,33810,0.0
65653,96572,0.0
65653,2391,0.0
65653,2392,0.0
65653,2393,0.0
65654,114711,0.0
65654,112992,0.0
65654,89954,0.0
65654,33810,0.0
65654,96572,0.0
65654,2391,0.0
65654,2392,0.0
65654,2393,0.0
117,7697,0.0
117,7698,0.0
117,7700,0.0
117,7870,0.0
117,7871,0.0
118,7697,0.0
118,7698,0.0
118,7700,0.0
118,7870,0.0
118,7871,0.0
118,7872,0.0
65657,112992,0.0
65657,89954,0.0
65657,33810,0.0
65657,96572,0.0
65657,2391,0.0
65657,2392,0.0
65657,2393,0.0
119,7697,0.0
119,7700,0.0
119,7871,0.0
119,7872,0.0
120,7697,0.0
120,7698,0.0
120,7870,0.0
120,7871,0.0
123,7696,0.0
123,7697,0.0
123,7698,0.0
123,7700,0.0
123,7870,0.0
123,7872,0.0
65661,114711,0.0
65661,112992,0.0
65661,89954,0.0
65661,33810,0.0
65661,96572,0.0
65661,2391,0.0
65661,2392,0.0
65661,2393,0.0
124,7697,0.0
124,7698,0.0
124,7700,0.0
124,7870,0.0
124,7871,0.0
124,7872,0.0
126,7698,0.0
126,7700,0.0
126,7870,0.0
126,7871,0.0
126,7872,0.0
65663,72420,0.0
65663,72425,0.0
65663,72450,0.0
65663,72458,0.0
65663,72459,0.0
65663,72465,0.0
65663,72467,0.0
65665,114711,0.0
65665,112992,0.0
65665,89954,0.0
65665,33810,0.0
65665,96572,0.0
65665,2391,0.0
65665,2392,0.0
65665,2393,0.0
65666,75808,0.0
65666,117898,0.0
65666,117943,0.0
65670,59336,0.0
65670,59363,0.0
65670,59392,0.0
65670,59421,0.0
65670,59382,0.0
65670,59387,0.0
65670,59462,0.0
65671,114711,0.0
65671,112992,0.0
65671,89954,0.0
65671,33810,0.0
65671,96572,0.0
65671,2391,0.0
65671,2392,0.0
65671,2393,0.0
136,54813,0.0
136,54816,0.0
136,53973,0.0
136,53983,0.0
136,8024,0.0
136,8026,0.0
136,8074,0.0
65673,72425,0.0
65673,72450,0.0
65673,72451,0.0
65673,72458,0.0
65673,72459,0.0
65673,72465,0.0
65673,72467,0.0
138,8075,0.0
138,78586,0.0
138,8076,0.0
138,8078,0.0
138,8124,0.0
139,8075,0.0
139,78586,0.0
139,8076,0.0
139,8078,0.0
139,8124,0.0
140,78586,0.0
140,8076,0.0
140,8078,0.0
141,8075,0.0
141,78586,0.0
141,8078,0.0
142,8075,0.0
142,8076,0.0
142,8078,0.0
142,8124,0.0
143,8076,0.0
143,8078,0.0
143,8124,0.0
65678,59336,0.0
65678,59363,0.0
65678,59393,0.0
65678,59392,0.0
65678,59382,0.0
65678,59387,0.0
65679,59336,0.0
65679,59393,0.0
65679,59392,0.0
65679,59421,0.0
65679,59382,0.0
65679,59387,0.0
65679,59408,0.0
144,41870,0.0
146,41870,0.0
146,8138,0.0
147,41870,0.0
147,8138,0.0
148,41870,0.0
148,8138,0.0
65688,59336,0.0
65688,59363,0.0
65688,59393,0.0
65688,59421,0.0
65688,59382,0.0
65688,59387,0.0
150,41870,0.0
150,8138,0.0
65690,58836,0.0
65690,58847,0.0
65690,58898,0.0
65690,58920,0.0
65690,58926,0.0
65690,58929,0.0
65690,58930,0.0
65690,58936,0.0
65689,72420,0.0
65689,72425,0.0
65689,72450,0.0
65689,72451,0.0
65689,72458,0.0
65689,72459,0.0
65689,72465,0.0
65689,72467,0.0
65684,58847,0.0
65684,58898,0.0
65684,58920,0.0
65684,58926,0.0
65684,58929,0.0
65684,58930,0.0
65684,58936,0.0
151,8138,0.0
65694,59336,0.0
65694,59363,0.0
65694,59393,0.0
65694,59392,0.0
65694,59421,0.0
65694,59382,0.0
65694,59387,0.0
65698,72420,0.0
65698,72425,0.0
65698,72450,0.0
65698,72451,0.0
65698,72458,0.0
65698,72459,0.0
65698,72465,0.0
65698,72467,0.0
65700,59835,0.0
65700,59880,0.0
65700,59887,0.0
65700,59892,0.0
65700,59895,0.0
65700,59900,0.0
165,36768,0.0
165,36769,0.0
165,36770,0.0
165,36771,0.0
165,36772,0.0
165,36773,0.0
166,36768,0.0
166,36769,0.0
166,36770,0.0
166,36771,0.0
166,36772,0.0
166,36773,0.0
65704,72473,0.0
65704,72479,0.0
65704,72488,0.0
65704,72489,0.0
65704,72506,0.0
65704,72517,0.0
167,36768,0.0
167,36769,0.0
167,36770,0.0
167,36771,0.0
167,36772,0.0
167,36773,0.0
65706,59336,0.0
65706,59363,0.0
65706,59393,0.0
65706,59392,0.0
65706,59421,0.0
65706,59382,0.0
