Algorithm,Dataset,Time_Elapsed,Best_Value,Round
sghc,dag121037_MEDIUM_0,0.0,-inf,
sghc,dag121037_MEDIUM_0,1.997499704360962,143665.34110000078,1.0
sghc,dag121037_MEDIUM_0,4.433744192123413,307938.71119999955,1.0
sghc,dag121037_MEDIUM_0,14.441219091415405,307938.71119999955,
sghc,dag121037_MEDIUM_0,15.069014072418213,312879.40089999867,5.0
sghc,dag121037_MEDIUM_0,17.69900894165039,316692.9883999991,6.0
sghc,dag121037_MEDIUM_0,27.780139446258545,316692.9883999991,
sghc,dag121037_MEDIUM_0,3000.0,316692.9883999991,
