Algorithm,Dataset,Time_Elapsed,Best_Value,Round
sa,dag122485_MEDIUM_1,0.0,-inf,
sa,dag122485_MEDIUM_1,1.4517152309417725,-330959.7525999988,1.0
sa,dag122485_MEDIUM_1,11.656989812850952,-330959.7525999988,
sa,dag122485_MEDIUM_1,13.145829439163208,277281.08160000027,1.0
sa,dag122485_MEDIUM_1,23.152324676513672,277281.08160000027,
sa,dag122485_MEDIUM_1,33.15648150444031,277281.08160000027,
sa,dag122485_MEDIUM_1,36.02044916152954,279450.56500000495,3.0
sa,dag122485_MEDIUM_1,46.026753664016724,279450.56500000495,
sa,dag122485_MEDIUM_1,56.03094696998596,279450.56500000495,
sa,dag122485_MEDIUM_1,66.03488969802856,279450.56500000495,
sa,dag122485_MEDIUM_1,76.03984522819519,279450.56500000495,
sa,dag122485_MEDIUM_1,86.04577016830444,279450.56500000495,
sa,dag122485_MEDIUM_1,89.33503651618958,279632.3766999993,8.0
sa,dag122485_MEDIUM_1,99.20519804954529,282945.27980000334,9.0
sa,dag122485_MEDIUM_1,109.20873951911926,282945.27980000334,
sa,dag122485_MEDIUM_1,119.21512579917908,282945.27980000334,
sa,dag122485_MEDIUM_1,129.21993231773376,282945.27980000334,
sa,dag122485_MEDIUM_1,133.0575931072235,284169.77530000213,12.0
sa,dag122485_MEDIUM_1,143.0613865852356,284169.77530000213,
sa,dag122485_MEDIUM_1,153.0663537979126,284169.77530000213,
sa,dag122485_MEDIUM_1,163.06883215904236,284169.77530000213,
sa,dag122485_MEDIUM_1,173.07673525810242,284169.77530000213,
sa,dag122485_MEDIUM_1,183.0815556049347,284169.77530000213,
sa,dag122485_MEDIUM_1,193.08292937278748,284169.77530000213,
sa,dag122485_MEDIUM_1,203.08771419525146,284169.77530000213,
sa,dag122485_MEDIUM_1,213.08782196044922,284169.77530000213,
sa,dag122485_MEDIUM_1,223.08875513076782,284169.77530000213,
sa,dag122485_MEDIUM_1,233.09154391288757,284169.77530000213,
sa,dag122485_MEDIUM_1,243.0953028202057,284169.77530000213,
sa,dag122485_MEDIUM_1,253.10328269004822,284169.77530000213,
