Algorithm,Dataset,Time_Elapsed,Best_Value,Round
mf,dag122458_MEDIUM_4,0.0,-inf,
mf,dag122458_MEDIUM_4,89.06696677207947,111101.60579999903,1.0
mf,dag122458_MEDIUM_4,165.82773756980896,299519.58039999945,2.0
mf,dag122458_MEDIUM_4,241.41353273391724,299519.58039999945,
mf,dag122458_MEDIUM_4,318.9242436885834,299519.58039999945,
mf,dag122458_MEDIUM_4,390.301739692688,299519.58039999945,
mf,dag122458_MEDIUM_4,459.86866569519043,299519.58039999945,
mf,dag122458_MEDIUM_4,536.1700818538666,299519.58039999945,
mf,dag122458_MEDIUM_4,610.8495256900787,299519.58039999945,
mf,dag122458_MEDIUM_4,683.1747262477875,299519.58039999945,
mf,dag122458_MEDIUM_4,757.1714429855347,299519.58039999945,
mf,dag122458_MEDIUM_4,827.3455588817596,299519.58039999945,
mf,dag122458_MEDIUM_4,902.0160994529724,299519.58039999945,
mf,dag122458_MEDIUM_4,970.6007468700409,299519.58039999945,
mf,dag122458_MEDIUM_4,1041.4399461746216,299519.58039999945,
