source,target,cost
65963,61107,0.0
65963,61129,0.0
65963,61148,0.0
65963,61237,0.0
430,3989,0.0
430,17507,0.0
430,17502,0.0
430,46957,0.0
432,39201,0.0
432,36176,0.0
432,1817,0.0
432,2468,0.0
432,23667,0.0
432,40536,0.0
437,1413,0.0
65991,61069,0.0
65991,61070,0.0
65991,61085,0.0
65991,61129,0.0
65991,61148,0.0
65993,73520,0.0
65993,105171,0.0
65993,92735,0.0
65993,106314,0.0
65993,87683,0.0
65994,61069,0.0
65994,61085,0.0
65994,61203,0.0
65994,61107,0.0
65994,61129,0.0
65994,61148,0.0
65995,61069,0.0
65995,61070,0.0
65995,61085,0.0
65995,61203,0.0
65995,61107,0.0
65995,61129,0.0
65995,61148,0.0
65995,61238,0.0
65999,73520,0.0
65999,105171,0.0
65999,92735,0.0
65999,106314,0.0
65999,87683,0.0
66008,61152,0.0
66008,61204,0.0
66008,61158,0.0
66008,61175,0.0
66008,61186,0.0
66008,61198,0.0
66008,61200,0.0
66013,73520,0.0
66013,105171,0.0
66013,92735,0.0
66013,106314,0.0
66013,87683,0.0
480,482,0.0
480,4569,0.0
480,11965,0.0
480,4663,0.0
480,4701,0.0
66016,61152,0.0
66016,61204,0.0
66016,61158,0.0
66016,61175,0.0
66016,61186,0.0
66016,61198,0.0
66016,61200,0.0
482,4662,0.0
482,483,0.0
482,485,0.0
482,4651,0.0
482,4636,0.0
483,1782,0.0
485,1782,0.0
66021,73520,0.0
66021,105171,0.0
66021,92735,0.0
66021,106314,0.0
66021,87683,0.0
66023,61152,0.0
66023,61204,0.0
66023,61158,0.0
66023,61175,0.0
66023,61186,0.0
66023,61198,0.0
66023,61200,0.0
66024,61152,0.0
66024,61204,0.0
66024,61158,0.0
66024,61175,0.0
66024,61186,0.0
66024,61198,0.0
66024,61200,0.0
66024,61244,0.0
66027,61152,0.0
66027,61204,0.0
66027,61158,0.0
66027,61175,0.0
66027,61186,0.0
66027,61198,0.0
66027,61200,0.0
66028,61523,0.0
66028,61545,0.0
66028,61546,0.0
66028,61564,0.0
66028,61591,0.0
66028,61593,0.0
66028,61594,0.0
66033,73520,0.0
66033,105171,0.0
66033,92735,0.0
66033,106314,0.0
66033,87683,0.0
66037,73520,0.0
66037,105171,0.0
66037,92735,0.0
66037,106314,0.0
66037,87683,0.0
502,520,0.0
502,110268,0.0
502,110274,0.0
501,83736,0.0
501,85605,0.0
501,104773,0.0
501,105965,0.0
501,107038,0.0
501,107089,0.0
509,82579,0.0
509,51093,0.0
509,51094,0.0
509,55476,0.0
509,88112,0.0
509,93993,0.0
509,31476,0.0
66048,61523,0.0
66048,61545,0.0
66048,61546,0.0
66048,61564,0.0
66048,61591,0.0
66048,61593,0.0
66048,61594,0.0
514,20713,0.0
514,20714,0.0
514,10678,0.0
514,85237,0.0
514,82854,0.0
514,15517,0.0
66052,61152,0.0
66052,61158,0.0
66052,61175,0.0
66052,61186,0.0
66052,61198,0.0
66052,61200,0.0
66054,61523,0.0
66054,61545,0.0
66054,61564,0.0
66054,61594,0.0
520,111074,0.0
520,111064,0.0
520,24986,0.0
520,95950,0.0
520,25882,0.0
520,34432,0.0
66067,61241,0.0
66067,61281,0.0
66067,61296,0.0
66070,61523,0.0
66070,61546,0.0
66070,61564,0.0
66070,61591,0.0
66070,61593,0.0
66070,61594,0.0
66070,61601,0.0
66071,68794,0.0
66071,68805,0.0
66071,68811,0.0
66071,68812,0.0
66071,68827,0.0
66084,61237,0.0
66084,61238,0.0
66084,61241,0.0
66084,61244,0.0
66084,61281,0.0
66084,61296,0.0
550,54986,0.0
550,81456,0.0
550,3860,0.0
550,102678,0.0
550,102679,0.0
550,102588,0.0
66087,61523,0.0
66087,61545,0.0
66087,61546,0.0
66087,61591,0.0
66087,61593,0.0
66087,61594,0.0
66088,61545,0.0
66088,61546,0.0
66088,61564,0.0
66088,61591,0.0
66088,61593,0.0
553,9694,0.0
553,9692,0.0
553,9695,0.0
553,9693,0.0
553,9696,0.0
551,41984,0.0
551,41986,0.0
551,36756,0.0
551,36762,0.0
551,36765,0.0
551,36761,0.0
551,30228,0.0
66089,68794,0.0
66089,68805,0.0
66089,68811,0.0
66089,68812,0.0
66089,68813,0.0
66089,68827,0.0
556,34218,0.0
556,45584,0.0
556,45588,0.0
556,45592,0.0
556,47601,0.0
556,45597,0.0
66090,68794,0.0
66090,68805,0.0
66090,68811,0.0
66090,68812,0.0
66090,68813,0.0
66090,68827,0.0
66096,61523,0.0
66096,61545,0.0
66096,61546,0.0
66096,61564,0.0
66096,61591,0.0
66096,61593,0.0
66096,61594,0.0
66096,61601,0.0
561,76423,0.0
561,80546,0.0
561,41837,0.0
561,16685,0.0
561,16666,0.0
560,111285,0.0
560,111306,0.0
560,111307,0.0
560,3207,0.0
560,111308,0.0
560,111358,0.0
66100,61237,0.0
66100,61238,0.0
66100,61241,0.0
66100,61244,0.0
66100,61296,0.0
565,107179,0.0
565,107180,0.0
565,567,0.0
565,107181,0.0
565,1856,0.0
565,82246,0.0
565,82247,0.0
566,107179,0.0
566,107180,0.0
566,567,0.0
566,107181,0.0
566,1856,0.0
566,107226,0.0
566,82246,0.0
566,82247,0.0
66103,68794,0.0
66103,68811,0.0
66103,68812,0.0
66103,68813,0.0
66103,68827,0.0
66104,61663,0.0
66104,61668,0.0
66104,61684,0.0
66104,61693,0.0
66104,61706,0.0
66104,61603,0.0
66101,61203,0.0
66101,61238,0.0
66101,61241,0.0
66101,61281,0.0
571,573,0.0
571,89961,0.0
571,48881,0.0
571,42256,0.0
571,13833,0.0
571,42254,0.0
571,102619,0.0
571,89963,0.0
572,10808,0.0
572,106992,0.0
572,31459,0.0
572,93622,0.0
572,93623,0.0
572,105293,0.0
572,94891,0.0
